Name,Type,Location,Communitys Rating,# Ratings,Expert,Expert Score,ABV %,Cost,Cask,Age
4 COPAS TEQUILA BLANCO,TEQUILA BLANCO,"4 COPAS // JALISCO, MEXICO",4.37,44,JACK ROBERTIELLO,98,40.0,2,UNAGED,UNAGED
MEZCAL LOS SIETE MISTERIOS PECHUGA,MEZCAL JOVEN,"LOS SIETE MISTERIOS // OAXACA, MEXICO",4.41,37,OMARI WHEAT,98,58.5,5,NONE,NAS
DEL MAGUEY ARROQUEÑO MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.5,71,OMARI WHEAT,98,49.0,4,,
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 9 AÑOS,TEQUILA EXTRA AÑEJO,"FUENTESECA // LOS ALTOS, JALISCO, MEXICO",4.11,8,DUNCAN MCROBERTS,98,43.0,5,AMERICAN OAK EX-RED WINE BARRELS (85%) AND USED FRENCH OAK (15%),9 YEAR
MIJENTA TEQUILA AÑEJO GRAN RESERVA,TEQUILA AÑEJO,"MIJENTA // LOS ALTOS, JALISCO, MEXICO",4.25,7,STEPHANIE MORENO,97,40.0,5,"AMERICAN WHITE OAK, FRENCH OAK, FRENCH ACACIA BARRELS, CHERRY OAK CASKS",NAS
CLASE AZUL TEQUILA REPOSADO,TEQUILA REPOSADO,"CLASE AZUL // LOS ALTOS, JALISCO, MEXICO",4.59,836,BROCK SCHULTE,97,40.0,4,,NAS
DULCE VIDA EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"DULCE VIDA // LOS ALTOS, JALISCO, MEXICO",4.31,31,RON BECHTOL,97,50.0,4,EX-RED WINE BARRELS,5 YEAR
TEQUILA TAPATIO EXCELENCIA GRAN RESERVA LOT 1,TEQUILA EXTRA AÑEJO,"TEQUILA TAPATIO // LOS ALTOS, JALISCO, MEXICO",4.78,52,AMANDA SCHUSTER,97,40.0,5,"NEW, CHARRED AMERICAN OAK; RESTED IN GLASS",NAS
FORTALEZA AÑEJO TEQUILA,TEQUILA AÑEJO,"TEQUILA FORTALEZA // TEQUILA VALLEY, JALISCO, MEXICO",4.36,120,AMANDA SCHUSTER,97,40.0,4,USED WHISKEY AMERICAN OAK,NAS
EL JOLGORIO ARROQUEÑO MEZCAL,MEZCAL JOVEN,"EL JOLGORIO // OAXACA, MEXICO",4.52,17,OMARI WHEAT,97,53.7,5,UNAGED,NAS
EL TESORO 85TH ANNIVERSARY EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"EL TESORO // LOS ALTOS, JALISCO, MEXICO",4.13,2,STEPHANIE MORENO,96,42.5,5,EX-BOOKER'S BOURBON 30TH ANNIVERSARY BARRELS,NAS
FORTALEZA BLANCO STILL STRENGTH TEQUILA,TEQUILA BLANCO,"TEQUILA FORTALEZA // TEQUILA VALLEY, JALISCO, MEXICO",4.45,38,AMANDA SCHUSTER,96,46.0,3,UNAGED,NAS
TEQUILA ARTENOM SELECCIÓN DE 1579 BLANCO,TEQUILA BLANCO,"TEQUILA ARTENOM // LOS ALTOS, JALISCO, MEXICO",4.3,27,FORREST COKELY,96,,3,,NAS
DON AMADO AÑEJO MEZCAL,MEZCAL AÑEJO,"DON AMADO // OAXACA, MEXICO",4.2,11,JOHN RANKIN,96,43.5,3,AMERICAN WHITE OAK - EX PEDRO DOMECQ BRANDY,NAS
GRAN PATRÓN BURDEOS AÑEJO TEQUILA,TEQUILA AÑEJO,"GRAN PATRÓN // LOS ALTOS, JALISCO, MEXICO",4.79,29,ANNA ARCHIBALD,96,40.0,5,AMERICAN AND FRENCH OAK FINISHED IN EX BORDEAUX WINE BARRELS,NAS
ARTA TEQUILA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"ARTA TEQUILA // TEQUILA VALLEY, JALISCO, MEXICO",4.58,13,AMANDA SCHUSTER,96,43.0,4,"EX-BOURBON, EX-SHERRY, AND EX-COGNAC",5 YEAR
REAL MINERO BARRIL MEZCAL,MEZCAL JOVEN,"REAL MINERO // OAXACA, MEXICO",4.26,26,OMARI WHEAT,96,49.9,4,UNAGED,NAS
MEZCAL PIERDE ALMAS WILD TEPEXTATE,MEZCAL JOVEN,"MEZCAL PIERDE ALMAS // OAXACA, MEXICO",4.14,7,RON BECHTOL,96,50.0,4,,NAS
SOTOL POR SIEMPRE,SOTOL,"POR SIEMPRE // CHIHUAHUA, MEXICO",4.05,54,DISTILLER STAFF,96,45.0,2,UNAGED,NAS
KOCH EL MEZCAL COYOTE,MEZCAL JOVEN,"OAXACA, MEXICO",4.1,6,OMARI WHEAT,96,47.0,4,,
TEARS OF LLORONA EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"TEARS OF LLORONA // LOS ALTOS, JALISCO, MEXICO",4.71,101,RON BECHTOL,96,43.0,5,"FORMER SCOTCH, SHERRY, AND COGNAC BARRELS",NAS
T1 TEQUILA REPOSADO EXCEPCIONAL,TEQUILA REPOSADO,"T1 TEQUILA UNO // LOS ALTOS, JALISCO, MEXICO",4.43,11,RON BECHTOL,96,40.0,3,EX-WHISKY,NAS
CORRALEJO REPOSADO TEQUILA,TEQUILA REPOSADO,"GUANAJUATO, MEXICO",4.08,434,AMANDA SCHUSTER,96,40.0,2,"FRENCH, AMERICAN, AND WHITE OAK",
CHINACO AÑEJO TEQUILA,TEQUILA AÑEJO,"CHINACO // TAMAULIPAS, MEXICO",4.05,44,DUNCAN MCROBERTS,96,40.0,3,,NAS
EL JOLGORIO TOBALÁ MEZCAL,MEZCAL JOVEN,"EL JOLGORIO // OAXACA, MEXICO",4.59,41,OMARI WHEAT,96,47.0,4,UNAGED,NAS
DON FULANO 20TH ANNIVERSARY EDITION,TEQUILA AÑEJO,"DON FULANO // LOS ALTOS, JALISCO, MEXICO",5.0,1,AMANDA SCHUSTER,95,44.4,5,"EX-OLOROSO, EX-AMONTILLADO, EX-BURGUNDY FRENCH OAK",NAS
CASA DRAGONES REPOSADO MIZUNARA,TEQUILA REPOSADO,"CASA DRAGONES // TEQUILA VALLEY, JALISCO, MEXICO",4.25,3,STEPHANIE MORENO,95,40.0,5,MIZUNARA JAPANESE OAK,NAS
LOS VECINOS DEL CAMPO ESPADIN MEZCAL,MEZCAL JOVEN,"LOS VECINOS DEL CAMPO // OAXACA, MEXICO",3.81,41,JACK ROBERTIELLO,95,45.0,2,UNAGED,NAS
DON AMADO LARGO MEZCAL,MEZCAL JOVEN,"DON AMADO // OAXACA, MEXICO",4.19,10,FORREST COKELY,95,46.0,4,UNAGED,NAS
PATRÓN CASK COLLECTION SHERRY AÑEJO,TEQUILA AÑEJO,"PATRÓN // LOS ALTOS, JALISCO, MEXICO",4.0,3,BRAD JAPHE,95,40.0,4,SHERRY BUTTS,NAS
MEZCALES DE LEYENDA PUEBLA,MEZCAL JOVEN,"MEZCAL DE LEYENDAS // PUEBLA, MEXICO",3.85,15,JOHN RANKIN,95,48.0,4,UNAGED,NAS
123 ORGANIC EXTRA AÑEJO DIABLITO TEQUILA,TEQUILA EXTRA AÑEJO,"123 SPIRITS // JALISCO, MEXICO",4.61,19,AMANDA SCHUSTER,95,40.0,5,"NEW, CHARRED FRENCH OAK",NAS
DEL MAGUEY PECHUGA MEZCAL,MEZCAL JOVEN,"DEL MAGUEY // OAXACA, MEXICO",4.44,65,KELLEY SLAGLE,95,49.0,5,UNAGED,NAS
WAHAKA MEZCAL TOBALÁ,MEZCAL JOVEN,"WAHAKA MEZCAL // OAXACA, MEXICO",4.38,18,DANIEL DJANG,95,42.0,3,UNAGED,NAS
WAHAKA MEZCAL JOVEN MADRE CUISHE,MEZCAL JOVEN,"WAHAKA MEZCAL // OAXACA, MEXICO",4.09,17,DANIEL DJANG,95,42.0,3,UNAGED,NAS
DON PILAR EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,"DON PILAR // LOS ALTOS, JALISCO, MEXICO",4.45,6,AMANDA SCHUSTER,95,40.0,5,AMERICAN WHITE OAK AND FRENCH LIMOUSIN OAK,NAS
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 21 AÑOS,TEQUILA EXTRA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.81,4,JACOB GRIER,95,43.5,5,,
MEZCAL VAGO TOBALÁ,MEZCAL JOVEN,"MEZCAL VAGO // OAXACA, MEXICO",4.33,25,DUNCAN MCROBERTS,95,51.0,4,UNAGED,NAS
DON JULIO AÑEJO TEQUILA,TEQUILA AÑEJO,"LOS ALTOS, JALISCO, MEXICO",4.22,494,RON BECHTOL,95,40.0,3,,
DULCE VIDA AÑEJO 100 PROOF TEQUILA,TEQUILA AÑEJO,"DULCE VIDA // LOS ALTOS, JALISCO, MEXICO",4.3,31,RON BECHTOL,95,50.0,2,AMERICAN OAK EX-BOURBON,NAS
ESPÍRITU LAURO AÑEJO MEZCAL,MEZCAL AÑEJO,"OAXACA, MEXICO",3.64,7,AMANDA SCHUSTER,95,40.0,4,,
T1 TEQUILA BLANCO ULTRA FINO,TEQUILA BLANCO,"T1 TEQUILA UNO // LOS ALTOS, JALISCO, MEXICO",4.54,11,RON BECHTOL,95,40.0,2,,NAS
GRAN CENTENARIO PLATA TEQUILA,TEQUILA BLANCO,"GRAN CENTENARIO // JALISCO, MEXICO",4.1,94,AMANDA SCHUSTER,95,40.0,2,FRENCH LIMOUSIN OAK,NAS
